experience,test_score,interview_score,salary
0,2,10,50000
0,7,5,50000
0,4,7,50000
0,8,3,50000
0,4,6,50000
0,5,6,50000
0,3,7,50000
0,4,7,50000
0,9,1,50000
0,6,3,50000
0,5,4,50000
0,1,6,50000
0,3,6,50000
0,7,6,50000
0,7,4,50000
0,3,3,50000
0,9,2,50000
0,8,4,50000
0,2,3,50000
0,5,3,50000
0,5,6,50000
0,8,1,50000
0,4,2,50000
0,6,6,50000
0,6,2,50000
0,2,3,50000
0,4,4,50000
0,8,1,50000
0,4,8,50000
0,8,5,50000
0,4,2,50000
0,7,3,50000
0,3,4,50000
0,6,2,50000
0,5,5,50000
0,5,5,50000
0,6,3,50000
0,8,5,50000
0,4,6,50000
0,1,6,50000
0,4,5,50000
0,4,2,50000
0,5,8,50000
0,3,4,50000
0,3,5,50000
0,4,3,50000
0,3,5,50000
0,10,2,50000
0,5,4,50000
0,3,5,50000
0,5,4,50000
0,4,1,50000
0,4,7,50000
0,4,3,50000
0,4,7,50000
0,7,7,50000
0,8,5,50000
0,1,8,50000
0,2,5,50000
0,8,3,50000
0,2,8,50000
0,6,7,50000
0,8,6,50000
0,4,4,50000
0,2,6,50000
0,7,3,50000
0,5,7,50000
0,8,4,50000
0,7,10,50000
0,5,5,50000
0,8,6,50000
0,3,7,50000
0,3,7,50000
0,7,7,50000
0,3,4,50000
0,1,5,50000
0,5,7,50000
0,4,5,50000
0,4,6,50000
0,8,4,50000
0,3,6,50000
0,5,2,50000
0,10,2,50000
0,1,8,50000
0,1,5,50000
0,3,5,50000
0,6,5,50000
0,4,8,50000
0,2,7,50000
0,8,3,50000
0,1,4,50000
0,2,4,50000
0,10,5,50000
0,8,4,50000
0,6,2,50000
0,2,5,50000
0,4,6,50000
0,5,5,50000
0,5,7,50000
0,3,6,50000
0,9,2,50000
0,1,4,50000
0,8,5,50000
0,7,5,50000
0,9,6,50000
0,7,6,50000
0,7,4,50000
0,4,8,50000
0,1,4,50000
0,9,2,50000
0,4,8,50000
0,5,3,50000
0,2,5,50000
0,5,8,50000
0,2,8,50000
0,7,4,50000
0,8,2,50000
0,4,3,50000
0,2,10,50000
0,9,4,50000
0,2,4,50000
0,7,3,50000
0,8,4,50000
0,8,1,50000
0,6,3,50000
0,2,5,50000
0,9,6,50000
0,10,3,50000
0,7,3,50000
0,3,8,50000
0,7,7,50000
0,8,6,50000
0,5,4,50000
0,3,3,50000
0,2,7,50000
0,5,7,50000
0,7,5,50000
0,3,8,50000
0,1,6,50000
0,5,3,50000
0,5,4,50000
0,4,4,50000
0,8,4,50000
0,4,10,50000
0,9,3,50000
0,6,6,50000
0,2,8,50000
0,10,1,50000
0,7,5,50000
0,9,2,50000
0,6,3,50000
0,7,1,50000
0,10,4,50000
0,6,2,50000
0,3,3,50000
0,5,6,50000
0,4,8,50000
0,7,3,50000
0,8,2,50000
0,6,3,50000
0,2,5,50000
0,10,2,50000
0,6,1,50000
0,7,2,50000
0,1,8,50000
0,1,4,50000
0,5,2,50000
0,5,6,50000
0,3,3,50000
0,7,5,50000
0,3,6,50000
0,7,7,50000
0,8,5,50000
0,4,6,50000
0,5,9,50000
0,7,1,50000
0,5,1,50000
0,5,5,50000
0,6,5,50000
0,4,5,50000
0,5,1,50000
0,8,1,50000
0,4,5,50000
0,6,2,50000
0,6,4,50000
0,6,1,50000
0,2,10,50000
0,8,1,50000
0,3,4,50000
0,2,6,50000
0,9,6,50000
0,4,4,50000
0,5,10,50000
0,4,4,50000
0,10,1,50000
0,1,7,50000
0,5,4,50000
0,5,2,50000
0,4,6,50000
0,10,7,50000
0,3,4,50000
0,3,5,50000
0,4,5,50000
0,3,8,50000
0,7,4,50000
0,6,5,50000
0,1,8,50000
0,7,5,50000
0,9,6,50000
0,2,8,50000
0,8,1,50000
0,10,2,50000
0,5,4,50000
0,9,4,50000
0,5,6,50000
0,7,7,50000
0,5,5,50000
0,5,5,50000
0,4,2,50000
0,4,5,50000
0,3,4,50000
0,1,6,50000
0,1,7,50000
0,6,7,50000
0,5,7,50000
0,6,10,51000
0,7,2,51000
0,3,4,51000
0,6,3,51000
0,9,4,51000
0,4,2,51000
0,7,5,51000
0,2,6,51000
0,5,9,51000
0,2,5,51000
0,5,5,51000
0,10,4,51000
0,4,4,51000
0,6,4,52000
0,6,7,52000
0,6,8,52000
0,4,7,52000
0,7,5,52000
0,7,2,52000
0,3,10,52000
0,5,6,52000
0,3,8,52000
0,6,6,52000
0,5,7,52000
0,6,4,52000
0,6,3,52000
0,7,10,52000
0,8,5,52000
0,8,7,52000
0,2,6,53000
0,6,9,53000
0,4,7,53000
0,6,4,53000
0,3,6,53000
0,6,6,53000
0,6,10,53000
0,2,7,53000
0,1,10,53000
0,8,5,53000
0,8,8,53000
0,7,5,53000
0,7,8,53000
0,5,5,54000
0,8,9,54000
0,8,2,54000
0,5,3,54000
0,6,7,54000
0,5,6,54000
0,6,7,54000
0,5,7,54000
0,7,6,54000
0,7,5,54000
0,8,4,54000
0,9,3,55000
0,10,1,55000
0,8,7,55000
0,3,7,55000
0,2,8,55000
0,3,8,55000
0,6,8,55000
0,6,6,55000
0,10,3,55000
0,10,9,55000
0,7,7,55000
0,6,5,55000
0,8,4,55000
0,2,10,56000
0,6,9,56000
0,4,7,56000
0,5,8,56000
0,6,7,56000
0,10,3,56000
0,8,5,56000
